Player,PTS,AST,TRB,TS%,PTS_36,AST_36,TRB_36
Domantas Sabonis,15.8,4.1,11.4,59.0,19.2,5.0,13.8
Jabari Smith Jr.,15.8,1.9,6.9,57.0,16.2,1.9,7.0
Collin Sexton,15.4,3.3,2.3,61.5,23.4,5.0,3.5
Jarrett Allen,15.4,1.8,8.5,66.9,20.4,2.4,11.3
Jaime Jaquez Jr.,15.4,4.7,5.0,57.0,19.6,6.0,6.4
Andrew Wiggins,15.4,2.7,4.8,58.6,18.2,3.2,5.7
Naji Marshall,15.2,3.3,4.7,59.2,18.6,4.0,5.7
Onyeka Okongwu,15.2,3.1,7.6,59.2,17.6,3.6,8.8
Russell Westbrook,15.2,6.7,5.4,52.8,18.9,8.3,6.8
Nikola Vučević,15.1,3.3,8.4,57.4,19.1,4.2,10.6
Anthony Black,15.0,3.7,3.8,54.9,18.1,4.4,4.6
Brice Sensabaugh,14.9,1.9,3.1,59.0,22.8,2.9,4.7
Ayo Dosunmu,14.8,3.6,3.4,63.0,19.6,4.8,4.5
Kyshawn George,14.8,4.5,5.1,55.9,18.4,5.5,6.3
Jaden McDaniels,14.8,2.7,4.2,61.1,16.8,3.1,4.8
Peyton Watson,14.6,2.1,4.9,59.4,17.8,2.5,5.9
Mikal Bridges,14.4,3.7,3.8,58.7,15.8,4.1,4.2
Anfernee Simons,14.3,2.4,2.5,57.6,20.6,3.5,3.5
Jeremiah Fears,14.3,3.4,3.7,52.5,19.9,4.8,5.1
Scoot Henderson,14.2,3.7,2.7,55.3,20.6,5.4,3.9
P.J. Washington,14.2,1.8,7.0,53.7,16.4,2.0,8.2
Ivica Zubac,14.1,2.2,10.6,62.2,16.9,2.6,12.7
Tre Jones,14.1,5.4,3.1,63.7,18.8,7.2,4.2
Kelly Oubre Jr.,14.1,1.6,5.0,58.0,16.1,1.8,5.8
Santi Aldama,14.0,2.9,6.7,57.2,18.1,3.8,8.6
Keegan Murray,14.0,1.7,5.7,49.9,14.6,1.7,6.0
Devin Vassell,13.9,2.5,4.0,57.4,16.4,2.9,4.7
Ace Bailey,13.8,1.8,4.2,53.3,18.0,2.4,5.5
Aaron Nesmith,13.8,1.9,4.2,55.4,16.7,2.3,5.0
Brandin Podziemski,13.8,3.7,5.1,58.3,17.5,4.7,6.5
Jalen Suggs,13.8,5.5,3.9,56.1,18.0,7.1,5.0
De'Andre Hunter,13.7,2.0,4.1,54.5,18.8,2.8,5.7
Bobby Portis,13.7,1.6,6.4,58.7,20.3,2.3,9.5
John Collins,13.6,1.0,5.3,64.3,18.0,1.3,7.1
Cedric Coward,13.6,2.8,5.9,58.5,19.0,3.9,8.2
Ajay Mitchell,13.6,3.6,3.3,58.5,18.9,5.0,4.6
Naz Reid,13.6,2.2,6.2,56.5,18.8,3.0,8.6
Cam Thomas,13.5,2.6,1.7,53.0,23.2,4.4,2.9
Tim Hardaway Jr.,13.5,1.4,2.6,62.4,18.3,1.8,3.5
Reed Sheppard,13.5,3.4,2.9,56.4,18.6,4.6,4.0
Toumani Camara,13.4,2.5,5.1,57.8,14.5,2.6,5.5
Quentin Grimes,13.4,3.3,3.6,58.5,16.4,4.0,4.5
Jordan Poole,13.4,3.1,2.0,53.0,20.2,4.6,3.0
Tobias Harris,13.3,2.5,5.1,57.4,17.2,3.2,6.7
Keldon Johnson,13.2,1.4,5.4,61.3,20.4,2.1,8.3
Jaylon Tyson,13.2,2.2,5.1,60.8,17.7,3.0,6.8
Kyle Kuzma,13.0,2.7,4.5,58.1,17.9,3.7,6.2
Brandon Williams,13.0,3.9,2.9,57.2,21.1,6.3,4.7
Sam Merrill,12.8,2.4,2.6,64.4,17.3,3.3,3.5
Collin Gillespie,12.7,4.6,4.1,57.5,16.0,5.9,5.2
Deandre Ayton,12.5,0.8,8.0,67.6,16.5,1.1,10.6
GG Jackson II,12.5,1.5,4.3,59.1,21.0,2.5,7.2
Malik Monk,12.5,3.0,1.9,56.8,20.4,4.9,3.1
Maxime Raynaud,12.5,1.4,7.5,61.9,16.9,1.8,10.2
Jaylen Wells,12.5,1.6,3.2,55.9,17.1,2.2,4.3
Max Christie,12.3,2.0,3.2,60.1,15.2,2.4,4.0
Noah Clowney,12.3,1.6,4.1,55.4,16.4,2.2,5.5
De'Anthony Melton,12.3,2.6,3.2,51.8,19.3,4.0,5.1
Jonathan Kuminga,12.2,2.3,5.6,55.7,19.0,3.6,8.8
Donte DiVincenzo,12.2,3.8,4.1,56.7,14.4,4.5,4.9
Cameron Johnson,12.2,2.4,3.8,62.9,14.4,2.9,4.5
Tre Johnson,12.2,2.0,2.8,53.5,18.3,3.0,4.2
Duncan Robinson,12.2,2.1,2.7,62.9,16.0,2.7,3.5
Donovan Clingan,12.1,2.1,11.6,60.4,16.1,2.8,15.3
Moses Moody,12.1,1.6,3.3,60.0,17.0,2.3,4.7
Christian Braun,12.0,2.7,4.8,60.7,13.5,3.1,5.4
Josh Hart,12.0,4.8,7.4,61.2,14.3,5.7,8.8
Miles McBride,12.0,2.6,2.4,57.8,16.4,3.5,3.3
Dyson Daniels,11.9,5.9,6.8,54.2,12.9,6.4,7.4
Myles Turner,11.9,1.5,5.3,58.4,15.9,1.9,7.1
Wendell Carter Jr.,11.8,2.0,7.4,61.7,14.5,2.4,9.1
Dylan Harper,11.8,3.9,3.4,57.4,18.8,6.1,5.4
Nic Claxton,11.7,3.7,6.9,59.2,15.2,4.7,9.0
Isaiah Collier,11.7,7.2,2.5,56.7,16.3,10.0,3.6
Bilal Coulibaly,11.7,2.6,4.3,53.1,16.1,3.6,6.0
Derik Queen,11.7,3.7,7.1,54.6,16.9,5.3,10.2
Klay Thompson,11.7,1.4,2.1,54.1,19.5,2.3,3.4
Mark Williams,11.7,1.0,8.0,68.0,17.8,1.5,12.1
Jarace Walker,11.6,2.5,5.1,54.3,16.3,3.5,7.2
Rui Hachimura,11.5,0.8,3.3,62.0,14.6,1.1,4.2
Kyle Filipowski,11.4,2.6,7.2,58.6,17.6,4.0,11.0
Pelle Larsson,11.4,3.4,3.5,60.5,15.6,4.6,4.8
Sandro Mamukelashvili,11.2,1.9,4.9,63.7,18.4,3.1,8.1
Julian Champagnie,11.1,1.5,5.8,60.9,14.5,2.0,7.5
Isaiah Joe,11.1,1.3,2.5,65.7,18.8,2.2,4.3
Cam Spencer,11.1,5.6,2.5,64.9,16.8,8.4,3.8
Kel'el Ware,11.1,0.7,9.0,61.6,18.0,1.2,14.7
Rudy Gobert,10.9,1.7,11.5,66.4,12.5,1.9,13.2
Jusuf Nurkić,10.9,4.8,10.4,54.8,14.9,6.5,14.1
Dennis Schröder,10.8,4.9,2.7,52.6,16.0,7.2,4.0
Daeqwon Plowden,10.8,1.3,3.0,57.2,14.7,1.7,4.1
Bub Carrington,10.7,4.6,3.4,55.6,13.9,6.0,4.4
Jakob Poeltl,10.7,2.0,7.0,69.8,15.4,2.9,10.1
Jock Landale,10.6,1.7,5.7,59.5,17.2,2.7,9.3
Marvin Bagley III,10.5,1.4,6.1,66.1,18.8,2.5,11.0
Tari Eason,10.5,1.5,6.3,51.4,14.6,2.1,8.7
A.J. Green,10.4,1.9,2.7,62.7,12.8,2.4,3.4
Caleb Love,10.4,2.5,2.3,49.7,18.1,4.4,4.1
Egor Dёmin,10.3,3.3,3.2,56.1,14.8,4.8,4.5
Will Riley,10.3,2.0,2.9,54.8,16.8,3.2,4.7
Khris Middleton,10.2,2.8,3.7,53.3,16.0,4.4,5.8
Neemias Queta,10.2,1.7,8.4,67.4,14.5,2.4,11.9
D'Angelo Russell,10.2,4.0,2.3,51.1,19.2,7.6,4.4
Jalen Smith,10.2,1.2,6.7,60.8,17.8,2.1,11.7
Ziaire Williams,10.2,1.1,2.4,57.9,16.1,1.7,3.8
Precious Achiuwa,10.1,1.4,6.7,55.8,15.2,2.1,10.2
Derrick Jones Jr.,10.1,1.4,3.5,60.0,13.4,1.8,4.6
Kevin Huerter,10.0,2.6,3.5,55.2,16.1,4.1,5.6
Jordan Miller,10.0,2.3,3.0,62.8,16.2,3.7,4.9
Olivier-Maxence Prosper,10.0,1.0,3.5,66.2,19.4,1.9,6.8
Isaiah Stewart,10.0,1.1,5.0,63.2,15.9,1.8,7.9
Harrison Barnes,9.9,1.9,2.8,60.8,13.9,2.7,3.9
Tristan Da Silva,9.9,1.6,3.7,57.6,14.4,2.4,5.4
Ausar Thompson,9.9,3.1,5.7,54.5,13.7,4.3,7.9
Royce O'Neale,9.8,2.7,4.8,59.6,12.4,3.4,6.1
Micah Potter,9.7,1.5,5.0,67.9,18.2,2.7,9.2
Javon Small,9.7,3.7,3.1,61.1,17.2,6.5,5.6
Zaccharie Risacher,9.6,1.1,3.8,55.7,15.4,1.8,6.2
Daniel Gafford,9.5,1.1,6.9,67.7,15.8,1.7,11.4
Jay Huff,9.5,1.5,4.0,59.8,16.4,2.5,6.8
T.J. McConnell,9.4,5.1,2.2,56.7,19.6,10.7,4.6
Svi Mykhailiuk,9.4,1.9,2.5,62.6,14.6,2.9,3.9
Aaron Wiggins,9.4,1.7,3.1,53.8,15.6,2.8,5.1
Daniss Jenkins,9.3,3.9,2.3,52.5,16.6,6.9,4.1
Davion Mitchell,9.3,6.5,2.7,58.2,11.8,8.2,3.3
Isaac Okoro,9.3,1.6,2.7,57.4,12.4,2.1,3.7
Landry Shamet,9.3,1.4,1.8,59.8,14.6,2.2,2.8
Marcus Smart,9.3,3.0,2.8,54.3,11.8,3.8,3.5
Jaden Hardy,9.2,1.0,1.5,56.6,21.0,2.3,3.4
Isaiah Hartenstein,9.2,3.5,9.4,63.1,13.7,5.3,14.0
Sam Hauser,9.2,1.5,3.8,59.0,13.4,2.1,5.6
Corey Kispert,9.2,1.6,2.3,60.9,17.7,3.1,4.4
Taurean Prince,9.2,1.8,3.1,61.7,14.1,2.7,4.8
Gui Santos,9.2,2.3,3.9,60.9,16.1,4.1,6.9
Quenton Jackson,9.1,2.9,2.3,58.9,18.0,5.6,4.6
Tristan Vukcevic,9.0,1.1,3.0,60.3,23.7,3.0,7.9
Devin Carter,8.9,2.7,3.3,50.8,17.4,5.2,6.4
Herbert Jones,8.9,2.8,3.4,49.1,11.2,3.5,4.3
Nolan Traoré,8.9,3.8,1.8,47.9,14.5,6.2,2.9
Danny Wolf,8.9,2.2,4.9,52.1,15.4,3.9,8.5
Cody Williams,8.8,2.0,3.0,52.4,13.0,3.0,4.4
Justin Champagnie,8.7,1.2,5.6,58.9,15.6,2.2,10.0
Jordan Goodwin,8.7,2.2,4.9,52.5,13.9,3.5,7.8
Day'Ron Sharpe,8.7,2.3,6.7,63.8,16.8,4.5,12.8
Jonas Valančiūnas,8.7,1.2,5.1,63.0,23.4,3.2,13.6
Jordan Clarkson,8.6,1.3,1.8,54.8,17.5,2.7,3.6
Nique Clifford,8.6,2.4,3.8,50.5,12.3,3.4,5.4
Cason Wallace,8.6,2.6,3.1,53.8,11.6,3.5,4.2
Jaden Ivey,8.5,1.8,2.5,57.1,17.0,3.7,4.9
Vít Krejčí,8.5,1.5,2.3,60.9,14.2,2.6,3.8
Simone Fontecchio,8.5,1.4,3.0,57.9,18.3,3.1,6.5
Bones Hyland,8.5,2.6,1.8,59.9,18.5,5.8,3.9
Brook Lopez,8.5,1.3,3.6,55.2,14.0,2.1,6.0
Collin Murray-Boyles,8.5,1.9,5.0,62.1,14.0,3.1,8.2
Luke Kennard,8.4,2.2,2.3,68.9,14.0,3.7,3.9
Kentavious Caldwell-Pope,8.4,2.7,2.5,53.3,14.2,4.6,4.1
Draymond Green,8.4,5.5,5.5,54.0,11.0,7.2,7.2
Jared McCain,8.3,1.3,2.0,55.1,17.3,2.8,4.3
Luguentz Dort,8.3,1.2,3.6,52.4,11.2,1.7,4.8
Al Horford,8.3,2.6,4.9,55.4,13.8,4.3,8.1
Ron Holland,8.2,1.2,4.0,52.5,14.9,2.2,7.3
Jake LaRavia,8.2,1.8,4.0,57.1,11.8,2.5,5.7
Sharife Cooper,8.1,3.0,2.1,60.9,17.1,6.4,4.4
Luka Garza,8.1,1.0,4.1,68.2,17.9,2.1,9.0
Bez Mbeng,8.1,4.1,3.8,55.0,8.9,4.5,4.2
Bryce McGowens,8.1,1.5,2.1,61.0,13.9,2.5,3.6
Gary Trent Jr.,8.1,1.2,1.0,53.3,13.8,2.1,1.8
Bruce Brown,7.9,2.1,3.9,56.2,11.7,3.1,5.7
Moussa Diabaté,7.9,1.9,8.7,65.3,10.9,2.7,12.0
Leonard Miller,7.8,0.9,3.9,63.3,18.1,2.0,9.1
Walter Clayton,7.8,4.0,2.0,52.3,13.7,7.1,3.5
Paul Reed,7.8,1.2,4.5,65.0,20.1,3.2,11.7
Dominick Barlow,7.7,1.2,4.8,59.7,11.6,1.9,7.2
Quinten Post,7.7,1.4,4.0,56.0,15.9,2.9,8.4
Ousmane Dieng,7.6,2.4,3.2,51.6,14.1,4.5,5.9
Buddy Hield,7.6,1.4,2.3,56.8,17.1,3.1,5.1
Ryan Kalkbrenner,7.6,0.8,5.5,76.2,12.7,1.3,9.2
Vince Williams Jr.,7.5,4.2,3.9,47.8,13.2,7.3,6.8
Jaxson Hayes,7.5,0.9,4.1,75.8,14.8,1.8,8.1
Gary Payton II,7.5,1.7,3.6,63.2,17.2,3.9,8.4
Ben Saraf,7.5,3.3,2.1,48.6,13.0,5.7,3.6
Ja'Kobe Walter,7.5,1.2,2.6,61.0,13.2,2.1,4.5
Josh Minott,7.4,0.9,3.2,65.3,15.7,2.0,6.8
Taylor Hendricks,7.4,0.9,3.7,56.6,14.1,1.8,7.1
Jose Alvarado,7.4,3.4,2.5,54.3,13.4,6.1,4.5
Caris LeVert,7.4,2.7,2.0,51.8,13.8,5.0,3.6
Jamir Watkins,7.4,1.3,3.9,55.4,12.8,2.3,6.8
Kris Dunn,7.3,3.6,3.3,58.1,9.6,4.8,4.4
Nikola Jović,7.3,2.2,3.3,48.0,15.3,4.5,6.8
Kobe Sanders,7.3,1.6,2.3,59.7,13.2,2.9,4.1
Terance Mann,7.2,3.0,3.2,56.4,10.7,4.5,4.7
Pat Spencer,7.2,3.5,2.4,51.6,13.9,6.8,4.6
Julian Strawther,7.2,1.1,2.0,59.0,17.3,2.6,4.8
Jaylin Williams,7.2,2.4,5.5,59.7,13.2,4.5,10.1
Ben Sheppard,7.1,1.8,3.0,56.1,11.9,3.0,5.1
Ethan Thompson,7.0,1.8,2.2,51.5,12.3,3.1,3.8
Grant Williams,7.0,1.6,3.9,60.9,12.8,2.8,7.2
Patrick Williams,7.0,1.5,3.0,49.4,12.3,2.6,5.3
Javonte Green,6.9,0.7,2.8,60.7,14.2,1.4,5.7
Elijah Harkless,6.8,2.9,2.0,47.1,11.8,5.0,3.5
Keon Ellis,6.7,1.0,1.9,57.9,11.7,1.8,3.3
Isaiah Jackson,6.7,0.9,5.3,65.3,14.7,2.1,11.5
Cole Anthony,6.7,3.5,2.5,48.3,16.0,8.3,5.9
Kevin Love,6.7,1.8,5.8,56.8,14.6,3.9,12.6
Robert Williams,6.7,1.0,7.0,72.2,14.2,2.1,14.8
Ryan Nembhard,6.6,5.3,2.2,49.2,12.2,9.7,4.1
Jamal Shead,6.6,5.4,1.7,49.1,10.6,8.6,2.8
Oso Ighodaro,6.5,2.3,5.1,63.6,10.6,3.7,8.3
Luke Kornet,6.5,1.9,6.1,68.9,11.2,3.2,10.4
Drake Powell,6.5,1.4,1.8,52.1,11.1,2.5,3.0
Trendon Watford,6.5,2.5,3.3,57.3,14.4,5.5,7.3
Kenrich Williams,6.5,1.4,3.3,56.9,15.3,3.3,7.9
Jevon Carter,6.4,1.6,1.7,53.7,14.1,3.6,3.7
Andre Drummond,6.4,1.3,8.4,53.9,11.8,2.3,15.6
Will Richard,6.4,1.3,2.5,59.6,11.5,2.4,4.5
Jalen Wilson,6.4,0.9,2.1,53.6,14.4,2.1,4.8
Rob Dillingham,6.3,2.2,2.0,46.9,15.2,5.3,4.9
Tyrese Martin,6.3,1.7,2.5,50.1,13.4,3.6,5.4
Kyle Anderson,6.2,2.9,3.5,57.3,11.2,5.3,6.3
Thomas Bryant,6.2,0.6,3.4,62.5,18.2,1.6,10.1
Alex Caruso,6.2,2.0,2.8,54.0,12.3,3.9,5.5
Kasparas Jakučionis,6.2,2.6,2.6,61.4,12.5,5.2,5.3
Jahmai Mashack,6.2,2.2,2.6,45.6,10.3,3.7,4.3
Gradey Dick,6.0,0.7,1.9,53.8,15.4,1.7,5.0
Justin Edwards,6.0,1.3,1.5,57.2,14.2,2.9,3.5
Tidjane Salaün,6.0,0.7,4.0,62.9,13.9,1.7,9.3
Goga Bitadze,5.9,1.3,5.0,70.0,13.9,3.1,11.9
Kobe Brown,5.8,1.3,3.0,59.4,13.2,3.0,6.9
Nick Richards,5.8,0.3,5.1,56.2,14.2,0.8,12.5
Steven Adams,5.8,1.5,8.6,53.5,9.2,2.4,13.6
Branden Carlson,5.8,0.7,3.0,61.3,17.9,2.1,9.1
Ryan Dunn,5.8,1.5,4.2,53.2,10.8,2.7,7.9
Anthony Gill,5.8,1.3,2.9,68.2,12.2,2.6,6.0
Kris Murray,5.8,1.4,3.6,55.0,8.9,2.2,5.6
Matisse Thybulle,5.8,0.9,2.0,60.0,13.1,2.0,4.4
Nae'Qwan Tomlin,5.8,0.8,2.9,54.9,13.4,1.9,6.7
Dean Wade,5.8,1.5,4.2,58.0,9.3,2.4,6.7
Jamaree Bouyea,5.7,1.8,1.8,52.3,14.7,4.6,4.6
Karlo Matković,5.7,0.8,3.7,69.6,13.9,2.0,9.0
Yves Missi,5.7,1.3,5.8,55.6,10.5,2.3,10.7
Mitchell Robinson,5.7,0.9,8.8,67.6,10.4,1.6,16.1
Guerschon Yabusele,5.6,0.9,3.5,54.3,13.3,2.3,8.4
Terrence Shannon Jr.,5.6,0.9,1.1,59.7,16.1,2.5,3.3
Dru Smith,5.6,2.6,2.5,53.2,12.5,5.7,5.5
Aaron Holiday,5.5,1.1,1.0,57.8,14.4,2.8,2.7
Jett Howard,5.5,0.8,1.6,56.1,15.6,2.3,4.5
Spencer Jones,5.5,0.8,3.3,61.9,8.9,1.3,5.3
Tre Mann,5.5,1.6,1.7,46.2,15.7,4.6,5.0
Baylor Scheierman,5.5,1.5,3.5,61.6,10.8,2.9,6.8
Jamal Cain,5.4,0.7,2.0,62.4,15.9,2.1,5.8
Dylan Cardwell,5.4,1.4,7.5,59.1,9.4,2.5,13.2
Sion James,5.4,2.0,3.5,53.1,8.6,3.2,5.6
Pete Nance,5.4,1.0,2.7,63.9,12.4,2.3,6.1
Tyrese Proctor,5.4,1.5,1.3,55.6,18.0,4.9,4.2
Jordan Walsh,5.4,0.8,4.0,62.3,10.8,1.6,8.1
Rayan Rupert,5.2,1.1,2.9,49.3,11.1,2.3,6.3
Drew Eubanks,5.2,0.5,3.0,60.5,14.3,1.2,8.3
Asa Newell,5.2,0.6,2.2,62.4,16.3,1.9,6.9
Jalen Pickett,5.2,2.3,2.3,54.1,11.6,5.1,5.1
Marcus Sasser,5.2,2.0,1.0,53.3,15.5,5.9,3.1
